ภาพ,วิธี,accuracy,precision,recall,specificity,fpr,f1,iou
scottish_terrier_106,ไม่ใช้ Morphology,0.7592,0.6987,0.679,0.8111,0.1889,0.6887,0.5252
scottish_terrier_106,ใช้ Morphology,0.7507,0.6558,0.7667,0.7403,0.2597,0.7069,0.5467
scottish_terrier_11,ไม่ใช้ Morphology,0.5734,0.3415,0.9415,0.4649,0.5351,0.5012,0.3344
scottish_terrier_11,ใช้ Morphology,0.4781,0.3034,0.9979,0.3248,0.6752,0.4654,0.3032
scottish_terrier_110,ไม่ใช้ Morphology,0.2832,0.1859,0.2355,0.3148,0.6852,0.2078,0.116
scottish_terrier_110,ใช้ Morphology,0.4822,0.4221,0.8049,0.2678,0.7322,0.5538,0.383
scottish_terrier_116,ไม่ใช้ Morphology,0.9188,0.9504,0.8828,0.9544,0.0456,0.9153,0.8439
scottish_terrier_116,ใช้ Morphology,0.9689,0.9514,0.9879,0.9501,0.0499,0.9693,0.9405
scottish_terrier_117,ไม่ใช้ Morphology,0.882,0.8852,0.8142,0.9282,0.0718,0.8482,0.7365
scottish_terrier_117,ใช้ Morphology,0.955,0.9012,0.9983,0.9255,0.0745,0.9473,0.8998
scottish_terrier_118,ไม่ใช้ Morphology,0.5161,0.6481,0.4494,0.6199,0.3801,0.5308,0.3613
scottish_terrier_118,ใช้ Morphology,0.7648,0.7445,0.9346,0.5004,0.4996,0.8288,0.7076
scottish_terrier_119,ไม่ใช้ Morphology,0.8614,0.7041,0.9438,0.8251,0.1749,0.8065,0.6758
scottish_terrier_119,ใช้ Morphology,0.8634,0.6914,1.0,0.8032,0.1968,0.8175,0.6914
scottish_terrier_120,ไม่ใช้ Morphology,0.8872,0.8164,0.9399,0.8496,0.1504,0.8738,0.7759
scottish_terrier_120,ใช้ Morphology,0.8554,0.742,1.0,0.7526,0.2474,0.8519,0.742
scottish_terrier_121,ไม่ใช้ Morphology,0.9925,0.9926,0.9912,0.9936,0.0064,0.9919,0.9839
scottish_terrier_121,ใช้ Morphology,0.9915,0.9818,1.0,0.9841,0.0159,0.9908,0.9818
scottish_terrier_123,ไม่ใช้ Morphology,0.4973,0.4366,0.6091,0.4139,0.5861,0.5086,0.3411
scottish_terrier_123,ใช้ Morphology,0.573,0.5001,0.9437,0.2964,0.7036,0.6538,0.4856
scottish_terrier_125,ไม่ใช้ Morphology,0.8431,0.7446,0.8543,0.8369,0.1631,0.7957,0.6608
scottish_terrier_125,ใช้ Morphology,0.839,0.7082,0.935,0.7856,0.2144,0.806,0.675
scottish_terrier_129,ไม่ใช้ Morphology,0.7407,0.6553,0.8973,0.612,0.388,0.7575,0.6096
scottish_terrier_129,ใช้ Morphology,0.7373,0.6321,0.9996,0.5217,0.4783,0.7745,0.632
scottish_terrier_13,ไม่ใช้ Morphology,0.6993,0.5946,0.8581,0.5872,0.4128,0.7025,0.5414
scottish_terrier_13,ใช้ Morphology,0.7143,0.5937,0.9799,0.5269,0.4731,0.7394,0.5865
scottish_terrier_136,ไม่ใช้ Morphology,0.8058,0.9808,0.5907,0.9901,0.0099,0.7373,0.5839
scottish_terrier_136,ใช้ Morphology,0.8905,0.9742,0.7835,0.9822,0.0178,0.8685,0.7676
scottish_terrier_138,ไม่ใช้ Morphology,0.8354,0.7381,0.9099,0.7861,0.2139,0.815,0.6878
scottish_terrier_138,ใช้ Morphology,0.7792,0.6514,0.9589,0.6602,0.3398,0.7758,0.6337
scottish_terrier_142,ไม่ใช้ Morphology,0.981,0.9969,0.9419,0.9987,0.0013,0.9686,0.9391
scottish_terrier_142,ใช้ Morphology,0.9984,0.995,0.9998,0.9977,0.0023,0.9974,0.9949
scottish_terrier_157,ไม่ใช้ Morphology,0.9964,1.0,0.9901,1.0,0.0,0.995,0.9901
scottish_terrier_157,ใช้ Morphology,0.9998,0.9995,1.0,0.9997,0.0003,0.9998,0.9995
scottish_terrier_158,ไม่ใช้ Morphology,0.9995,1.0,0.9985,1.0,0.0,0.9992,0.9985
scottish_terrier_158,ใช้ Morphology,1.0,1.0,1.0,1.0,0.0,1.0,1.0
scottish_terrier_160,ไม่ใช้ Morphology,0.5784,0.8143,0.5302,0.6986,0.3014,0.6423,0.473
scottish_terrier_160,ใช้ Morphology,0.7665,0.86,0.8036,0.6738,0.3262,0.8308,0.7106
scottish_terrier_162,ไม่ใช้ Morphology,0.9996,0.9988,0.999,0.9997,0.0003,0.9989,0.9978
scottish_terrier_162,ใช้ Morphology,0.9997,0.9983,1.0,0.9997,0.0003,0.9992,0.9983
scottish_terrier_169,ไม่ใช้ Morphology,0.8754,0.933,0.7982,0.9469,0.0531,0.8604,0.7549
scottish_terrier_169,ใช้ Morphology,0.9695,0.9413,0.9989,0.9423,0.0577,0.9692,0.9403
scottish_terrier_170,ไม่ใช้ Morphology,0.7381,0.9327,0.5731,0.9475,0.0525,0.7099,0.5503
scottish_terrier_170,ใช้ Morphology,0.9006,0.8899,0.9384,0.8526,0.1474,0.9135,0.8407
scottish_terrier_173,ไม่ใช้ Morphology,0.8665,0.8641,0.766,0.9272,0.0728,0.8121,0.6836
scottish_terrier_173,ใช้ Morphology,0.8923,0.7776,1.0,0.8272,0.1728,0.8749,0.7776
scottish_terrier_184,ไม่ใช้ Morphology,0.5353,0.2828,0.7664,0.4726,0.5274,0.4132,0.2604
scottish_terrier_184,ใช้ Morphology,0.4599,0.2828,0.9965,0.3143,0.6857,0.4406,0.2825
scottish_terrier_187,ไม่ใช้ Morphology,0.7861,0.7021,0.9801,0.5991,0.4009,0.8181,0.6922
scottish_terrier_187,ใช้ Morphology,0.7365,0.6515,0.996,0.4864,0.5136,0.7877,0.6498
scottish_terrier_190,ไม่ใช้ Morphology,0.6436,0.6328,0.6662,0.6215,0.3785,0.6491,0.4804
scottish_terrier_190,ใช้ Morphology,0.7715,0.6882,0.9838,0.5637,0.4363,0.8099,0.6805
scottish_terrier_192,ไม่ใช้ Morphology,0.5345,0.3563,0.4876,0.558,0.442,0.4118,0.2593
scottish_terrier_192,ใช้ Morphology,0.5542,0.393,0.6141,0.5242,0.4758,0.4793,0.3152
scottish_terrier_193,ไม่ใช้ Morphology,0.9775,0.9476,0.9632,0.9822,0.0178,0.9554,0.9145
scottish_terrier_193,ใช้ Morphology,0.9848,0.9428,1.0,0.9798,0.0202,0.9706,0.9428
scottish_terrier_194,ไม่ใช้ Morphology,0.9891,0.9481,0.9917,0.9886,0.0114,0.9694,0.9406
scottish_terrier_194,ใช้ Morphology,0.9821,0.907,0.9998,0.9784,0.0216,0.9511,0.9068
scottish_terrier_195,ไม่ใช้ Morphology,0.4101,0.2458,0.3171,0.4616,0.5384,0.2769,0.1607
scottish_terrier_195,ใช้ Morphology,0.2224,0.2254,0.4857,0.0768,0.9232,0.3079,0.182
scottish_terrier_197,ไม่ใช้ Morphology,0.7583,0.589,0.9524,0.6586,0.3414,0.7278,0.5721
scottish_terrier_197,ใช้ Morphology,0.7652,0.5925,0.9866,0.6514,0.3486,0.7403,0.5877
scottish_terrier_199,ไม่ใช้ Morphology,0.7226,0.9486,0.5268,0.9647,0.0353,0.6774,0.5122
scottish_terrier_199,ใช้ Morphology,0.8471,0.9628,0.7525,0.964,0.036,0.8448,0.7313
scottish_terrier_20,ไม่ใช้ Morphology,0.8024,0.5616,0.8039,0.8019,0.1981,0.6613,0.4939
scottish_terrier_20,ใช้ Morphology,0.7294,0.4691,0.9703,0.6533,0.3467,0.6324,0.4624
scottish_terrier_23,ไม่ใช้ Morphology,0.4764,0.1874,0.5092,0.4685,0.5315,0.2739,0.1587
scottish_terrier_23,ใช้ Morphology,0.4015,0.1918,0.6486,0.342,0.658,0.296,0.1737
scottish_terrier_29,ไม่ใช้ Morphology,0.8811,0.6545,0.8588,0.8867,0.1133,0.7429,0.5909
scottish_terrier_29,ใช้ Morphology,0.8996,0.6684,0.9876,0.8776,0.1224,0.7973,0.6629
scottish_terrier_3,ไม่ใช้ Morphology,0.8778,0.8927,0.6292,0.9715,0.0285,0.7382,0.585
scottish_terrier_3,ใช้ Morphology,0.9161,0.9068,0.7729,0.9701,0.0299,0.8345,0.716
scottish_terrier_34,ไม่ใช้ Morphology,0.6058,0.4561,0.7749,0.5176,0.4824,0.5742,0.4027
scottish_terrier_34,ใช้ Morphology,0.5745,0.4463,1.0,0.3524,0.6476,0.6172,0.4463
scottish_terrier_36,ไม่ใช้ Morphology,0.9951,1.0,0.9899,1.0,0.0,0.9949,0.9899
scottish_terrier_36,ใช้ Morphology,0.9997,1.0,0.9993,1.0,0.0,0.9997,0.9993
scottish_terrier_39,ไม่ใช้ Morphology,0.8308,0.6748,0.7202,0.8716,0.1284,0.6968,0.5346
scottish_terrier_39,ใช้ Morphology,0.777,0.5572,0.8461,0.7514,0.2486,0.6719,0.5059
scottish_terrier_4,ไม่ใช้ Morphology,0.8468,0.7999,0.9719,0.6841,0.3159,0.8776,0.7819
scottish_terrier_4,ใช้ Morphology,0.8314,0.7702,1.0,0.6123,0.3877,0.8702,0.7702
scottish_terrier_41,ไม่ใช้ Morphology,0.6457,0.8184,0.567,0.7822,0.2178,0.6699,0.5036
